Horizonte,Modelo,Parametros,Params_JSON,Seed,N,WMAPE,MAE,RMSE,R2,Bias,Bias_Pct,SSE,SST_POOLED
H3,Random Forest ampliada,trees=500;depth=5;leaf=4,"{""max_depth"": 5, ""min_leaf"": 4, ""n_trees"": 500}",10300,48,0.13025646992379897,2348.879644341929,5196.843974322577,0.9264462983944701,-926.5685299204038,-0.05138260112247219,1296344990.0857382,17624469765.479168
H3,Random Forest ampliada,trees=35;depth=7;leaf=3,"{""max_depth"": 7, ""min_leaf"": 3, ""n_trees"": 35}",10301,48,0.11870651532597347,2140.6024411920457,5226.684693894003,0.9255991700097044,-872.4012113849057,-0.048378767480051287,1311275178.690521,17624469765.479168
H3,Random Forest ampliada,trees=100;depth=7;leaf=3,"{""max_depth"": 7, ""min_leaf"": 3, ""n_trees"": 100}",10301,48,0.12995100444111338,2343.3712680228946,5252.784796336601,0.9248542550657557,-666.0301891760998,-0.03693451961820901,1324403909.5979977,17624469765.479168
H3,Random Forest ampliada,trees=300;depth=7;leaf=3,"{""max_depth"": 7, ""min_leaf"": 3, ""n_trees"": 300}",10301,48,0.1311316783780701,2364.662041362177,5270.310164537848,0.92435198670929,-905.5291589824328,-0.0502158686360296,1333256123.060686,17624469765.479168
H3,Random Forest ampliada,trees=500;depth=7;leaf=3,"{""max_depth"": 7, ""min_leaf"": 3, ""n_trees"": 500}",10301,48,0.12901809051614097,2326.5482838780554,5249.237770497805,0.9249557075011023,-914.079098455952,-0.05069000316078715,1322615864.218597,17624469765.479168
H3,Gradient Boosting,n_estimators=60;learning_rate=0.05;max_depth=2;min_leaf=5,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_leaf"": 5, ""n_estimators"": 60}",10300,48,0.19492287091627872,3514.9913396223806,6281.49779237118,0.892538821198654,-1540.858829744371,-0.08544789951110862,1893946296.7470727,17624469765.479168
H3,Gradient Boosting,n_estimators=80;learning_rate=0.03;max_depth=3;min_leaf=4,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_leaf"": 4, ""n_estimators"": 80}",10301,48,0.20149803545232597,3633.559500927193,6806.756855085622,0.8738156043252867,-1734.0571846827015,-0.09616166075893216,2223933066.4442453,17624469765.479168
H4,Ridge Contábil,alpha=0.1,"{""alpha"": 0.1}",,48,0.2039838515070746,3678.3855486006264,6276.581672260562,0.8927069611390754,-2388.016297317656,-0.13242678217182355,1890982919.4507453,17624469765.479168
H4,Ridge Contábil,alpha=1,"{""alpha"": 1.0}",,48,0.20734059612770772,3738.9168152261686,6358.346024628448,0.8898933638327903,-2342.2156750883296,-0.12988692135508215,1940571080.1076026,17624469765.479168
H4,Ridge Contábil,alpha=10,"{""alpha"": 10.0}",,48,0.22221053458327886,4007.0623881204847,6606.470097752857,0.8811322274543805,-2116.59213066661,-0.11737503020780189,2094981463.320127,17624469765.479168
H4,Ridge Contábil,alpha=100,"{""alpha"": 100.0}",,48,0.21339069588416387,3848.0166255656586,6277.100454029714,0.8926892241045743,-1714.028503938908,-0.09505097581719764,1891295525.2790418,17624469765.479168
H4,Ridge Contábil,alpha=1000,"{""alpha"": 1000.0}",,48,0.3827288322592221,6901.645376405148,9708.147358532362,0.7433165328275626,-1267.5132322717961,-0.07028959513320826,4523910006.478987,17624469765.479168
H4,Ridge + Brent e Câmbio,alpha=0.1,"{""alpha"": 0.1}",,48,0.31754643216940404,5726.2288091521505,8655.957669189915,0.7959411545394092,-5719.521516393585,-0.31717448110772206,3596428952.1987696,17624469765.479168
H4,Ridge + Brent e Câmbio,alpha=1,"{""alpha"": 1.0}",,48,0.27731596271963466,5000.763649316602,7876.610365791818,0.8310322182373471,-4905.032905730776,-0.2720072408561253,2977967561.015958,17624469765.479168
H4,Ridge + Brent e Câmbio,alpha=10,"{""alpha"": 10.0}",,48,0.26375862204408657,4756.28779669421,7733.190081551717,0.8371294556720169,-4569.814172814797,-0.2534177788940598,2870506984.195673,17624469765.479168
H4,Ridge + Brent e Câmbio,alpha=100,"{""alpha"": 100.0}",,48,0.26231003998675784,4730.1659087787075,7621.121183229303,0.8418158693344049,-4652.082351996959,-0.25797993797834495,2787911428.294388,17624469765.479168
H4,Ridge + Brent e Câmbio,alpha=1000,"{""alpha"": 1000.0}",,48,0.3791862893057237,6837.763658763429,10070.783240180623,0.7237821921355609,-3117.7894427339434,-0.1728961497684526,4868192403.39374,17624469765.479168
H4,Random Forest ampliada,trees=35;depth=5;leaf=4,"{""max_depth"": 5, ""min_leaf"": 4, ""n_trees"": 35}",10400,48,0.1460575352112722,2633.815975215752,5056.699417118398,0.9303598889443959,-357.57055707080616,-0.01982897617803588,1227370031.764106,17624469765.479168
H4,Random Forest ampliada,trees=100;depth=5;leaf=4,"{""max_depth"": 5, ""min_leaf"": 4, ""n_trees"": 100}",10400,48,0.15689123414164927,2829.177133900448,4901.239802428687,0.9345760018776719,-119.2812174903111,-0.006614706869263102,1153063276.8437374,17624469765.479168
H4,Random Forest ampliada,trees=300;depth=5;leaf=4,"{""max_depth"": 5, ""min_leaf"": 4, ""n_trees"": 300}",10400,48,0.14950144286027284,2695.919029125192,5172.245433865392,0.9271409629431269,-340.9048735591233,-0.018904785316095293,1284101895.7507875,17624469765.479168
H4,Random Forest ampliada,trees=500;depth=5;leaf=4,"{""max_depth"": 5, ""min_leaf"": 4, ""n_trees"": 500}",10400,48,0.14780771256841116,2665.3764494906713,5068.602014561434,0.9300316615055197,-307.12554526262846,-0.01703156202391966,1233154866.3367789,17624469765.479168
H4,Random Forest ampliada,trees=35;depth=7;leaf=3,"{""max_depth"": 7, ""min_leaf"": 3, ""n_trees"": 35}",10401,48,0.14625495958023968,2637.3760753922425,5757.571379132832,0.9097174454555514,-1186.040962862811,-0.06577157300488919,1591182152.918858,17624469765.479168
H4,Random Forest ampliada,trees=100;depth=7;leaf=3,"{""max_depth"": 7, ""min_leaf"": 3, ""n_trees"": 100}",10401,48,0.14005738896133674,2525.616962930275,5232.795534355,0.9254250950809347,-636.5937267820791,-0.03530212875147134,1314343157.00955,17624469765.479168
H4,Random Forest ampliada,trees=300;depth=7;leaf=3,"{""max_depth"": 7, ""min_leaf"": 3, ""n_trees"": 300}",10401,48,0.14616152626988957,2635.691217811554,5281.051145327588,0.924043328656545,-510.6385138292133,-0.028317317312851562,1338696057.5791597,17624469765.479168
H4,Random Forest ampliada,trees=500;depth=7;leaf=3,"{""max_depth"": 7, ""min_leaf"": 3, ""n_trees"": 500}",10401,48,0.1467881872958898,2646.9916263727214,5347.332619331493,0.922124728115616,-552.2961659837266,-0.03062743087189714,1372510374.8047972,17624469765.479168
H4,Gradient Boosting,n_estimators=60;learning_rate=0.05;max_depth=2;min_leaf=5,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_leaf"": 5, ""n_estimators"": 60}",10400,48,0.1654737443098354,2983.9432153335115,5574.484777386208,0.9153679920334129,-1175.8207777451555,-0.06520481547067482,1491594265.598907,17624469765.479168
H4,Gradient Boosting,n_estimators=80;learning_rate=0.03;max_depth=3;min_leaf=4,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_leaf"": 4, ""n_estimators"": 80}",10401,48,0.1750566920484996,3156.749916523164,6197.792835728615,0.8953837162651741,-1398.725127064409,-0.0775659144068963,1843806529.6612294,17624469765.479168
