Etapa,Horizonte,Target_QID,Modelo,Config_Index,Seed
Teste,H4,77,Random Forest ampliada,,24771
Teste,H4,77,Gradient Boosting,,24772
Teste,H4,78,Random Forest ampliada,,24781
Teste,H4,78,Gradient Boosting,,24782
Teste,H4,79,Random Forest ampliada,,24791
Teste,H4,79,Gradient Boosting,,24792
Teste,H4,80,Random Forest ampliada,,24801
Teste,H4,80,Gradient Boosting,,24802
Teste,H4,81,Random Forest ampliada,,24811
Teste,H4,81,Gradient Boosting,,24812
Teste,H4,82,Random Forest ampliada,,24821
Teste,H4,82,Gradient Boosting,,24822
