Horizonte,Bloco,Modelo,Segmento,N,WMAPE,MAE,RMSE,R2,Bias,Bias_Pct,SSE,SST_POOLED
H1,Validação,Gradient Boosting,E&P,16,0.10426668274804404,3158.283437111956,4120.095230635124,0.5945669502710005,-1850.7084306528707,-0.061098768568558004,271602955.3520367,669908275.9375
H1,Validação,Gradient Boosting,GÁS & ENERGIA / G&EBC,16,0.28633596511961296,2799.488834976636,3617.6782856084915,0.3968395005528207,940.7644812138014,0.096222818363501,209401538.8506111,347173826.9375
H1,Validação,Gradient Boosting,REFINO / RTC,16,0.24523402694351012,20381.1394181215,25516.44412410619,0.29814283920797213,-17322.28293143444,-0.2084286414013468,10417422731.818134,14842653624.9375
H1,Validação,Random Forest ampliada,BIOCOMBUSTÍVEIS,3,0.7346688629207979,161.62714984257556,177.38701852571648,-85.28744334947774,161.62714984257556,0.7346688629207979,94398.46302432865,1094.0
H1,Validação,Random Forest ampliada,CORPORATIVO / OUTROS NEGÓCIOS,16,0.8563713998874168,760.7789423749839,1321.0511776390083,-0.6731540683468997,186.53823824203704,0.20997691092391957,27922819.423062574,16688731.75
H1,Validação,Random Forest ampliada,DISTRIBUIÇÃO,3,0.5861377872146141,8249.889355045692,11328.130289326384,-0.4633866785767877,8249.889355045692,0.5861377872146141,384979607.5558616,263074424.0
H1,Validação,Random Forest ampliada,E&P,16,0.14446505703436913,4375.909781033493,5540.7828712555565,0.2667587267302083,2108.3835765683325,0.06960558349704696,491204397.22238344,669908275.9375
H1,Validação,Random Forest ampliada,GÁS & ENERGIA / G&EBC,16,0.255584500067172,2498.8336831254865,3574.0102913832216,0.4113127858471779,153.89206165954874,0.01574031353473915,204376793.00661087,347173826.9375
H1,Validação,Random Forest ampliada,REFINO / RTC,16,0.24104329100933644,20032.851807289255,25338.677767783945,0.30788808282544067,-17004.404686895337,-0.20460380313363213,10272777456.313416,14842653624.9375
H1,Validação,Random Forest grade original,BIOCOMBUSTÍVEIS,3,0.9815796370186537,215.9475201441038,250.07778817489657,-170.49606984949298,215.9475201441038,0.9815796370186537,187616.70041534532,1094.0
H1,Validação,Random Forest grade original,CORPORATIVO / OUTROS NEGÓCIOS,16,1.0246583510091516,910.2808625777551,1481.5317631374248,-1.1043529471891347,348.21843183619535,0.3919723448275732,35118981.842961386,16688731.75
H1,Validação,Random Forest grade original,DISTRIBUIÇÃO,3,0.5877618640541108,8272.748236561609,11780.970356626553,-0.5827224148218246,8272.748236561609,0.5877618640541108,416373787.6311406,263074424.0
H1,Validação,Random Forest grade original,E&P,16,0.14631456239116725,4431.932107449502,5781.812313769631,0.20157777218379747,2179.7689931423183,0.07196228159934363,534869658.10653013,669908275.9375
H1,Validação,Random Forest grade original,GÁS & ENERGIA / G&EBC,16,0.23776615265268292,2324.62481410074,3449.567919303139,0.4515937363203315,-2.665941011893665,-0.0002726764911705393,190392301.27816623,347173826.9375
