Horizonte,Modelo,Feature,N_Janelas,Beta_Medio,Beta_DP,Beta_Min,Beta_Max,Abs_Beta_Medio,Consistencia_Sinal,Mudancas_Sinal,Importancia_Media,Top5_Frequencia,Rank_Medio
H2,Ridge + Brent e Câmbio,USD_BRL_Var_AA,30,315.2465830690009,238.92582116639485,-102.52407403770418,640.6570597880035,333.35619835674,0.8333333333333334,4,0.008431806994189038,0.0,22.033333333333335
H2,Ridge + Brent e Câmbio,USD_BRL_t,30,776.43591907586,781.098130991997,-677.4423316230557,1560.7566881278676,971.9826881415363,0.7,1,0.024766912823611157,0.0,13.533333333333333
H2,Ridge + Brent e Câmbio,USD_BRL_t_1,30,176.6371995484746,862.2955330515907,-1222.4044774000024,1039.1000661622147,832.5287910887822,0.6666666666666666,1,0.022465221416862358,0.0,14.0
H2,Ridge + Brent e Câmbio,USD_BRL_t_4,30,33.809406485694595,343.8411499062826,-475.32286485730987,590.7725880019871,302.9509764269708,0.5333333333333333,4,0.00836630015911153,0.0,22.6
H3,Ridge Contábil,Custo_t,30,12398.389526812223,3695.357278231853,7086.324563947284,18309.852543557427,12398.389526812223,1.0,0,0.2728676673437571,1.0,1.0
H3,Ridge Contábil,Custo_t_1,30,4208.90107237754,1350.223600972087,1283.7441885018318,6001.443049519966,4208.90107237754,1.0,0,0.09374889732085637,0.8666666666666667,4.266666666666667
H3,Ridge Contábil,Custo_t_4,30,-1299.2709270883206,2439.9030539960377,-5711.904700548711,2050.033641070443,2373.390229831579,0.5666666666666667,3,0.05063057204547506,0.13333333333333333,8.166666666666666
H3,Ridge Contábil,Despesas_t,30,-253.35991779976692,375.45237675347624,-993.5586730881471,234.97180410838118,340.93613759134604,0.6,1,0.00885736289841105,0.0,15.366666666666667
H3,Ridge Contábil,Despesas_t_1,30,227.45197420605413,237.07566857405038,-226.266377395553,515.2421670862342,301.4553415170988,0.7333333333333333,4,0.006599477364870126,0.0,15.833333333333334
H3,Ridge Contábil,Despesas_t_4,30,136.66537293042362,263.443348103264,-586.0083671570819,579.0266077344827,214.2767339314356,0.6,4,0.005670960990957602,0.0,17.0
H3,Ridge Contábil,EBIT_t,30,975.7424935802176,904.9833512229006,-445.5570569579065,2086.8487955162273,1121.0960033394033,0.8333333333333334,1,0.02277014201301146,0.0,11.266666666666667
H3,Ridge Contábil,EBIT_t_1,30,-748.1934003364388,636.7671061961357,-1564.2448298560382,376.10816620647466,874.4641722276373,0.7666666666666667,3,0.01870880147920918,0.0,11.833333333333334
H3,Ridge Contábil,EBIT_t_4,30,494.18857758614115,627.6149948507647,-612.3189408779332,1449.7003867711335,594.5545163164159,0.6666666666666666,3,0.01595973252362149,0.0,13.533333333333333
H3,Ridge Contábil,Receita_t,30,3682.828727516489,4736.116541309401,-2918.7334593123865,10369.625424113998,5113.096755013865,0.6333333333333333,3,0.10789896886611365,0.7,4.333333333333333
H3,Ridge Contábil,Receita_t_1,30,-4812.6259588970515,3659.781283680401,-9620.7061535686,462.10936505581066,4856.369899944239,0.9,2,0.09635802619431813,0.7333333333333333,5.666666666666667
H3,Ridge Contábil,Receita_t_4,30,2313.382210718184,1610.4759302521384,-796.3718674430529,5277.0435041043065,2455.0698578978604,0.9,2,0.05382654882301401,0.23333333333333334,7.166666666666667
H3,Ridge Contábil,Segmento=CORPORATIVO / OUTROS NEGÓCIOS,30,80.70457067199064,132.95378652441505,-161.8790905034267,289.1902446941923,124.64300150290767,0.5666666666666667,1,0.0031790329511947645,0.0,18.8
H3,Ridge Contábil,Segmento=DISTRIBUIÇÃO,30,1479.958373438991,624.5103646957675,195.9535929649225,2354.7501286381075,1479.958373438991,1.0,0,0.035894965568861265,0.13333333333333333,8.266666666666667
H3,Ridge Contábil,Segmento=E&P,30,1142.9357919613349,1130.7944726875705,-1805.008955958697,2622.2356151569943,1437.733766483958,0.8666666666666667,2,0.03566130604971278,0.2,8.866666666666667
H3,Ridge Contábil,Segmento=GÁS & ENERGIA / G&EBC,30,499.20602108200336,212.24809558318543,81.09722093651101,774.3108999533648,499.20602108200336,1.0,0,0.012178717056339496,0.0,12.833333333333334
H3,Ridge Contábil,Segmento=INTERNACIONAL,30,392.73875407681885,183.43788478059636,3.566744808312649,644.4555539285673,392.73875407681885,1.0,0,0.009565583711561815,0.0,14.266666666666667
H3,Ridge Contábil,Segmento=REFINO / RTC,30,5470.324054072112,1155.5149962963342,2356.9317888388637,6968.435365632509,5470.324054072112,1.0,0,0.12774568534601466,1.0,3.3
H3,Ridge Contábil,Trimestre_Cos,30,280.33830346011666,113.07497014851563,137.20200596562051,545.9596975038623,280.33830346011666,1.0,0,0.0066423834391073034,0.0,15.933333333333334
H3,Ridge Contábil,Trimestre_Sin,30,687.8049390784155,190.12376793508335,439.17810303707506,919.2587723677054,687.8049390784155,1.0,0,0.015235168013592674,0.0,12.3
H3,Ridge + Brent e Câmbio,Brent_BRL_t,30,-1071.0578799980656,1711.3920557045292,-3003.645726789959,1140.6942558451224,1721.4388806280838,0.6666666666666666,1,0.0389647155338086,0.26666666666666666,11.1
H3,Ridge + Brent e Câmbio,Brent_Var_AA,30,1262.809168917739,1361.0994915004685,-547.1207016062774,2823.9292934462324,1486.4307257484988,0.6666666666666666,1,0.03237148071249199,0.0,14.033333333333333
H3,Ridge + Brent e Câmbio,Brent_t,30,1245.2711859016495,482.09168406446037,318.1223450869073,1962.808875070956,1245.2711859016495,1.0,0,0.029863724796285598,0.0,12.833333333333334
H3,Ridge + Brent e Câmbio,Brent_t_1,30,-1582.6645687177308,262.4652008323763,-1912.8858855785481,-1009.2074214730698,1582.6645687177308,1.0,0,0.03908921652008346,0.0,9.0
H3,Ridge + Brent e Câmbio,Brent_t_4,30,1064.6286495028198,1095.9083237286284,-352.84188465890503,2365.6791040868475,1236.167245476976,0.6333333333333333,1,0.027175666446367257,0.0,15.0
H3,Ridge + Brent e Câmbio,Custo_t,30,6350.141527809839,2359.009917264418,3421.8240386992975,9078.395533249597,6350.141527809839,1.0,0,0.14974937885303025,1.0,1.4666666666666666
H3,Ridge + Brent e Câmbio,Custo_t_1,30,3340.2411562305474,633.1077866084944,2004.1210686326053,4186.020317366345,3340.2411562305474,1.0,0,0.08231889427926106,0.9666666666666667,3.6333333333333333
H3,Ridge + Brent e Câmbio,Custo_t_4,30,681.261636690668,968.589215093848,-998.1680660580191,2383.4508371240186,1034.9823514335014,0.7333333333333333,2,0.028290792754471567,0.06666666666666667,13.766666666666667
H3,Ridge + Brent e Câmbio,Despesas_t,30,-966.2646358064582,234.3777469018252,-1568.992467987573,-701.9352745742426,966.2646358064582,1.0,0,0.025169296884076934,0.0,14.033333333333333
H3,Ridge + Brent e Câmbio,Despesas_t_1,30,-381.63414620174194,110.15563217447982,-734.4394672625938,-180.45583407412832,381.63414620174194,1.0,0,0.009536968346791852,0.0,21.533333333333335
H3,Ridge + Brent e Câmbio,Despesas_t_4,30,-42.607699529791674,243.74167175086754,-486.9267663705881,318.83057561858425,226.48804552464688,0.5666666666666667,5,0.005647730763625292,0.0,25.2
H3,Ridge + Brent e Câmbio,EBIT_t,30,-348.1728478745062,667.6617109690591,-1667.8204628347369,330.85148897263986,542.5755857776461,0.5333333333333333,3,0.01567415973692231,0.0,20.766666666666666
H3,Ridge + Brent e Câmbio,EBIT_t_1,30,-1213.5984436751612,390.82306723953405,-1705.8450199115528,-666.6923632227756,1213.5984436751612,1.0,0,0.02917164658919335,0.0,12.4
H3,Ridge + Brent e Câmbio,EBIT_t_4,30,285.25871464486823,606.8363887071195,-364.5621105152797,1198.3886058972735,567.512026310794,0.5,1,0.01586099233920989,0.0,19.833333333333332
H3,Ridge + Brent e Câmbio,Receita_t,30,4193.6353283691415,1812.5630437152656,1595.5585385525912,6073.344310579612,4193.6353283691415,1.0,0,0.09791795201971144,0.9666666666666667,3.1666666666666665
H3,Ridge + Brent e Câmbio,Receita_t_1,30,1706.412942688809,570.3204937781309,564.9730608079894,2642.998482989872,1706.412942688809,1.0,0,0.04454861937848067,0.43333333333333335,9.2
H3,Ridge + Brent e Câmbio,Receita_t_4,30,1059.1801082685229,852.2827849544753,-332.0723293198777,2685.931016774142,1108.534757449756,0.8666666666666667,2,0.03112842621910476,0.1,13.866666666666667
H3,Ridge + Brent e Câmbio,Segmento=CORPORATIVO / OUTROS NEGÓCIOS,30,-237.50344426087437,118.53147903990832,-435.2389581355925,-1.3905992575744845,237.50344426087437,1.0,0,0.0056553754885013685,0.0,24.933333333333334
H3,Ridge + Brent e Câmbio,Segmento=DISTRIBUIÇÃO,30,1140.3704467814596,223.89092932300494,557.0152728187279,1448.7881902506842,1140.3704467814596,1.0,0,0.029431088209946384,0.0,11.966666666666667
